Designator,Mid X,Mid Y,Rotation,Layer
A1,119.03,-101.0,270.0,top
C1,158.4375,-63.0,90.0,top
C2,181.4375,-81.0,90.0,top
C3,106.426,-80.264,0.0,top
C4,161.0,-86.0,180.0,top
C5,138.0,-69.0,180.0,top
C6,194.5,-96.0,270.0,top
D1,171.0,-67.0,90.0,top
D2,167.0,-67.0,270.0,top
D3,175.0,-67.0,90.0,top
D4,179.0,-67.0,270.0,top
D5,193.5,-104.0,0.0,top
D6,193.5225,-106.934,0.0,top
D7,154.0,-65.0,90.0,top
D8,177.0,-82.0,90.0,top
DCC1,185.0,-65.735,180.0,top
DS1,158.5,-70.0,0.0,top
J1,208.42,-103.88,90.0,top
R1,158.45,-69.0,180.0,top
R2,138.55,-64.0,270.0,top
R3,177.0,-90.0,90.0,top
R5,146.0,-98.0,180.0,top
RV1,147.5,-93.0,0.0,top
RV2,156.5,-93.0,0.0,top
SW1,186.235,-93.0,0.0,top
SW2,153.55,-105.243742,0.0,top
SW3,166.55,-97.243742,0.0,top
SW4,179.55,-105.243742,0.0,top
U1,146.2,-65.0,180.0,top
U2,169.2,-81.82,180.0,top
